,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback_score,avg_set_margin,tiebreaks_count,lead_changes,bp_saved_ratio,bp_total
153,Australian Open,20020114,F,173.0,3-6 6-4 6-4 7-6(4),Thomas Johansson,Marat Safin,0.4454460385896013,0,2.0,1,1,0.7,20.0
154,Roland Garros,20090525,SF,208.0,6-3 7-5 5-7 4-6 6-4,Robin Soderling,Fernando Gonzalez,0.4450388434502973,1,2.2,0,2,0.64,25.0
155,Wimbledon,20110620,SF,187.0,7-6(4) 6-2 6-7(9) 6-3,Novak Djokovic,Jo-Wilfried Tsonga,0.44456930333817124,0,2.25,2,2,0.47058823529411764,17.0
156,Australian Open,20120116,SF,222.0,6-7(5) 6-2 7-6(5) 6-4,Rafael Nadal,Roger Federer,0.4426783915307778,0,2.0,2,1,0.6538461538461539,26.0
157,Roland Garros,19970526,SF,174.0,6-7(6) 6-1 7-5 7-6(1),Sergi Bruguera,Patrick Rafter,0.4421350928118555,0,2.25,2,1,0.3157894736842105,19.0
158,US Open,19970825,SF,150.0,6-1 3-6 3-6 6-3 7-5,Greg Rusedski,Jonas Bjorkman,0.441805145280173,2,3.2,0,2,0.6363636363636364,22.0
159,Australian Open,20130114,F,220.0,6-7(2) 7-6(3) 6-3 6-2,Novak Djokovic,Andy Murray,0.43893287799880476,0,2.25,2,1,0.8,15.0
160,Roland Garros,19890529,F,140.8,6-1 3-6 4-6 6-4 6-2,Michael Chang,Stefan Edberg,0.43780797333447163,2,3.2,0,2,0.625,0.0
161,US Open,19730829,F,140.8,6-4 1-6 4-6 6-2 6-3,John Newcombe,Jan Kodes,0.43780797333447163,2,3.2,0,2,0.625,0.0
162,Australian Open,19930118,SF,112.0,7-6(5) 6-3 7-6(3),Stefan Edberg,Pete Sampras,0.43737437035772214,0,1.6666666666666667,2,0,0.5454545454545454,11.0
163,Australian Open,19690120,SF,288.0,7-5 22-20 9-11 1-6 6-3,Rod Laver,Tony Roche,0.43707090056632236,1,2.8,0,2,0.625,0.0
164,Wimbledon,20000626,F,178.0,6-7(10) 7-6(5) 6-4 6-2,Pete Sampras,Patrick Rafter,0.4362295793135832,0,2.0,2,1,0.8125,16.0
165,Wimbledon,19930621,F,140.8,7-6(3) 7-6(6) 3-6 6-3,Pete Sampras,Jim Courier,0.4358865363271579,0,2.0,2,2,0.42857142857142855,7.0
166,US Open,20080825,SF,211.0,6-2 7-6(5) 4-6 6-4,Andy Murray,Rafael Nadal,0.43542804817389824,0,2.25,1,2,0.7391304347826086,23.0
167,Wimbledon,20230703,SF,167.0,6-3 6-4 7-6(4),Novak Djokovic,Jannik Sinner,0.4343483764478215,0,2.0,1,0,0.8666666666666667,15.0
168,US Open,19800826,F,176.0,7-6 6-1 6-7 5-7 6-4,John McEnroe,Bjorn Borg,0.43302411494351,1,2.2,0,2,0.625,0.0
169,Australian Open,20150119,F,219.0,7-6(5) 6-7(4) 6-3 6-0,Novak Djokovic,Andy Murray,0.4321067830615556,0,2.75,2,2,0.5,28.0
170,Wimbledon,20170703,SF,138.0,7-6(4) 7-6(4) 6-4,Roger Federer,Tomas Berdych,0.43054817723896527,0,1.3333333333333333,2,0,0.8,15.0
171,Wimbledon,19810622,SF,131.20000000000002,0-6 4-6 6-3 6-0 6-4,Bjorn Borg,Jimmy Connors,0.42892112396482535,3,3.8,0,1,0.625,0.0
172,US Open,19800826,SF,131.20000000000002,4-6 4-6 6-1 6-1 6-1,Bjorn Borg,Johan Kriek,0.42892112396482535,3,3.8,0,1,0.625,0.0
173,Wimbledon,20020624,SF,198.0,7-6(2) 6-4 1-6 2-6 6-2,David Nalbandian,Xavier Malisse,0.4285614047070207,1,3.2,1,2,0.6857142857142857,35.0
174,Wimbledon,20030623,F,116.0,7-6(5) 6-2 7-6(3),Roger Federer,Mark Philippoussis,0.42496888926833437,0,2.0,2,0,0.6,5.0
175,Roland Garros,20210531,SF,217.0,6-3 6-3 4-6 4-6 6-3,Stefanos Tsitsipas,Alexander Zverev,0.422371632658869,1,2.6,0,2,0.6,20.0
176,US Open,20050829,SF,178.0,6-3 7-6(0) 4-6 6-3,Roger Federer,Lleyton Hewitt,0.42226613591735684,0,2.25,1,2,0.75,28.0
177,US Open,20070827,F,144.0,7-6(4) 7-6(2) 6-4,Roger Federer,Novak Djokovic,0.4218418423973363,0,1.3333333333333333,2,0,0.6428571428571429,14.0
178,Australian Open,20100118,F,161.0,6-3 6-4 7-6(11),Roger Federer,Andy Murray,0.41812137795611715,0,2.0,1,0,0.7,20.0
179,Roland Garros,19990524,SF,146.0,6-4 7-6(6) 3-6 6-4,Andre Agassi,Dominik Hrbaty,0.41642575201343235,0,2.0,1,2,0.6666666666666666,24.0
180,US Open,20220829,F,200.0,6-4 2-6 7-6(1) 6-3,Carlos Alcaraz,Casper Ruud,0.4146977717066507,0,2.5,1,2,0.7142857142857143,21.0
181,Roland Garros,20240526,F,140.8,6-3 2-6 5-7 6-1 6-2,Carlos Alcaraz,Alexander Zverev,0.4144260792851248,2,3.6,0,2,0.6153846153846154,39.0
182,Roland Garros,20110522,F,220.0,7-5 7-6(3) 5-7 6-1,Rafael Nadal,Roger Federer,0.41438193460257833,0,2.5,1,2,0.6,30.0
183,US Open,20120827,SF,238.0,5-7 6-2 6-1 7-6(7),Andy Murray,Tomas Berdych,0.4120157944164603,0,3.0,1,1,0.6428571428571429,28.0
184,Roland Garros,20250526,SF,112.0,6-4 7-5 7-6(3),Jannik Sinner,Novak Djokovic,0.41184103702438885,0,1.6666666666666667,1,0,0.7333333333333333,15.0
185,Roland Garros,20150524,SF,249.0,6-3 6-3 5-7 5-7 6-1,Novak Djokovic,Andy Murray,0.4112594169490854,1,3.0,0,2,0.6086956521739131,23.0
186,Australian Open,20080114,SF,146.0,7-5 6-3 7-6(5),Novak Djokovic,Roger Federer,0.4096372150601895,0,2.0,1,0,0.7,20.0
187,US Open,20160829,F,234.0,6-7(1) 6-4 7-5 6-3,Stan Wawrinka,Novak Djokovic,0.4087560687555138,0,2.0,1,1,0.6666666666666666,27.0
188,Roland Garros,19740603,F,131.20000000000002,2-6 6-7 6-0 6-1 6-1,Bjorn Borg,Manuel Orantes,0.4062796145308631,3,4.2,0,1,0.625,0.0
189,Australian Open-2,19771219,F,163.20000000000002,6-3 7-6 5-7 3-6 6-2,Vitas Gerulaitis,John Lloyd,0.4060387141068328,1,2.6,0,2,0.625,0.0
190,Wimbledon,20060626,F,178.0,6-0 7-6(5) 6-7(2) 6-3,Roger Federer,Rafael Nadal,0.4058296337402886,0,2.75,2,2,0.38461538461538464,13.0
191,Roland Garros,20200928,SF,189.0,6-3 6-3 7-6(0),Rafael Nadal,Diego Schwartzman,0.40519055750021343,0,2.3333333333333335,1,0,0.5714285714285714,21.0
192,Australian Open,19870112,SF,153.60000000000002,7-6 5-7 7-6 6-4,Pat Cash,Ivan Lendl,0.40474328737300436,0,1.5,0,2,0.625,0.0
193,US Open,20150831,F,201.0,6-4 5-7 6-4 6-4,Novak Djokovic,Roger Federer,0.40403497775501107,0,2.0,0,2,0.7222222222222222,36.0
194,Australian Open,19870112,F,156.8,6-3 6-4 3-6 5-7 6-3,Stefan Edberg,Pat Cash,0.4038667684054753,1,2.6,0,2,0.625,0.0
195,Australian Open,19791224,SF,147.20000000000002,6-4 7-6 6-7 6-4,John Sadri,Colin Dibley,0.40202835524630753,0,1.5,0,2,0.625,0.0
196,Australian Open,20050117,SF,174.0,3-6 7-6(3) 7-6(4) 6-1,Lleyton Hewitt,Andy Roddick,0.40141835994194486,0,2.5,2,1,0.75,20.0
197,US Open,19930830,SF,128.0,6-1 6-7(3) 7-6(2) 6-1,Cedric Pioline,Wally Masur,0.40111376805407595,0,3.0,2,2,0.782608695652174,23.0
198,Roland Garros,20200928,SF,234.0,6-3 6-2 5-7 4-6 6-1,Novak Djokovic,Stefanos Tsitsipas,0.40000562630418346,1,3.2,0,2,0.6756756756756757,37.0
199,Roland Garros,20080525,SF,169.0,6-4 6-2 7-6(3),Rafael Nadal,Novak Djokovic,0.39992834030564334,0,2.3333333333333335,1,0,0.65,20.0
200,US Open,19960826,SF,131.20000000000002,6-3 6-4 6-7(9) 6-3,Pete Sampras,Goran Ivanisevic,0.3985631947408862,0,2.25,1,2,0.7,10.0
201,Wimbledon,20190701,SF,182.0,7-6(3) 1-6 6-3 6-4,Roger Federer,Rafael Nadal,0.3977999705929784,0,2.75,1,2,0.7777777777777778,18.0
202,US Open,20110829,F,250.0,6-2 6-4 6-7(3) 6-1,Novak Djokovic,Rafael Nadal,0.39580141410523645,0,3.0,1,2,0.5609756097560976,41.0
203,US Open,20020826,SF,141.0,7-6(6) 7-6(4) 6-2,Pete Sampras,Sjeng Schalken,0.394509160761547,0,2.0,2,0,0.8,10.0
204,Wimbledon,20210628,F,204.0,6-7(4) 6-4 6-4 6-3,Novak Djokovic,Matteo Berrettini,0.393696491078289,0,2.0,1,1,0.6363636363636364,22.0
205,Wimbledon,20040621,SF,171.0,6-4 4-6 7-5 7-5,Andy Roddick,Mario Ancic,0.3926106657782694,0,2.0,0,2,0.7391304347826086,23.0
206,Wimbledon,19910624,SF,167.0,6-4 7-6(4) 7-5,Boris Becker,David Wheaton,0.39248296764279006,0,1.6666666666666667,1,0,0.8571428571428571,14.0
207,Roland Garros,20060529,SF,169.0,6-4 6-2 7-6(7),Rafael Nadal,Ivan Ljubicic,0.3918783403056433,0,2.3333333333333335,1,0,0.5454545454545454,11.0
208,Roland Garros,19890529,SF,153.60000000000002,6-3 6-4 5-7 3-6 6-2,Stefan Edberg,Boris Becker,0.3914600408378156,1,2.8,0,2,0.625,0.0
209,US Open,19710901,SF,153.60000000000002,7-6 6-3 3-6 2-6 6-3,Stan Smith,Tom Okker,0.3914600408378156,1,2.8,0,2,0.625,0.0
210,Wimbledon,19680624,SF,185.60000000000002,9-7 8-10 6-4 8-6,Tony Roche,Clark Graebner,0.3900160612140357,0,2.0,0,2,0.625,0.0
211,Australian Open,20170116,SF,184.0,7-5 6-3 1-6 4-6 6-3,Roger Federer,Stan Wawrinka,0.38999769486894903,1,3.0,0,2,0.6190476190476191,21.0
212,US Open,19940829,SF,108.80000000000001,7-5 6-3 7-6(4),Michael Stich,Karel Novacek,0.3896964910782891,0,2.0,1,0,0.7142857142857143,21.0
213,Australian Open,19791224,SF,150.4,7-5 3-6 7-6 7-6,Guillermo Vilas,Victor Amaya,0.3892348779134295,0,1.75,0,2,0.625,0.0
214,US Open,20230828,SF,199.0,7-6(3) 6-1 3-6 6-3,Daniil Medvedev,Carlos Alcaraz,0.3887216767694015,0,3.0,1,2,0.75,16.0
215,Wimbledon,20050620,SF,128.0,6-3 6-4 7-6(4),Roger Federer,Lleyton Hewitt,0.3883339973628542,0,2.0,1,0,0.5555555555555556,9.0
216,Roland Garros,19970526,SF,134.0,6-1 3-6 6-1 7-6(4),Gustavo Kuerten,Filip Dewulf,0.38734626056518395,0,3.5,1,2,0.6785714285714286,28.0
217,Wimbledon,20210628,SF,164.0,7-6(3) 7-5 7-5,Novak Djokovic,Denis Shapovalov,0.3871194683969379,0,1.6666666666666667,1,0,0.8095238095238095,21.0
218,Roland Garros,19910527,SF,187.0,6-2 6-7(8) 6-2 6-4,Jim Courier,Michael Stich,0.38690168764546273,0,2.75,1,2,0.6086956521739131,23.0
219,Australian Open,20220117,SF,150.0,7-6(5) 4-6 6-4 6-1,Daniil Medvedev,Stefanos Tsitsipas,0.38661236446683167,0,2.5,1,2,0.625,16.0
220,Wimbledon,19850624,F,144.0,6-3 6-7 7-6 6-4,Boris Becker,Kevin Curren,0.38651994578673265,0,1.75,0,2,0.625,0.0
221,US Open,20100830,F,223.0,6-4 5-7 6-4 6-2,Rafael Nadal,Novak Djokovic,0.3852131797266227,0,2.5,0,2,0.7241379310344828,29.0
222,Australian Open,20110117,SF,180.0,7-6(3) 7-5 6-4,Novak Djokovic,Roger Federer,0.38516924215259396,0,1.6666666666666667,1,0,0.6666666666666666,24.0
223,Wimbledon,20130624,SF,172.0,6-7(2) 6-4 6-4 6-3,Andy Murray,Jerzy Janowicz,0.38502183044480487,0,2.0,1,1,0.7,20.0
224,Wimbledon,19920622,SF,132.0,6-7(4) 7-6(5) 6-4 6-2,Goran Ivanisevic,Pete Sampras,0.3849535046529497,0,2.0,2,1,0.4,5.0
225,Wimbledon,20040621,F,151.0,4-6 7-5 7-6(3) 6-4,Roger Federer,Andy Roddick,0.3844894028003073,0,1.75,1,1,0.625,24.0
226,US Open,19950828,SF,140.8,7-5 4-6 6-4 7-5,Pete Sampras,Jim Courier,0.38063653632715794,0,2.0,0,2,0.75,16.0
227,Australian Open,20160118,F,173.0,6-1 7-5 7-6(3),Novak Djokovic,Andy Murray,0.380328414771811,0,2.6666666666666665,1,0,0.6111111111111112,18.0
228,Roland Garros,20070528,F,190.0,6-3 4-6 6-3 6-4,Rafael Nadal,Roger Federer,0.37819643099942774,0,2.5,0,2,0.8148148148148148,27.0
229,Roland Garros,20230529,F,194.0,7-6(1) 6-3 7-5,Novak Djokovic,Casper Ruud,0.37788653632715785,0,2.0,1,0,0.7142857142857143,14.0
230,Roland Garros,20060529,F,182.0,1-6 6-1 6-4 7-6(4),Rafael Nadal,Roger Federer,0.37710919491163664,0,3.25,1,1,0.6818181818181818,22.0
231,Wimbledon,20240701,SF,168.0,6-4 7-6(2) 6-4,Novak Djokovic,Lorenzo Musetti,0.37687210791428327,0,1.6666666666666667,1,0,0.6470588235294118,17.0
232,US Open,20230828,SF,161.0,6-3 6-2 7-6(4),Novak Djokovic,Ben Shelton,0.37653552889951336,0,2.6666666666666665,1,0,0.65,20.0
233,US Open,20140825,SF,172.0,6-4 1-6 7-6(4) 6-3,Kei Nishikori,Novak Djokovic,0.37601900025612567,0,2.75,1,2,0.55,20.0
234,US Open,20020826,F,172.0,6-3 6-4 5-7 6-4,Pete Sampras,Andre Agassi,0.37587088704857846,0,2.25,0,2,0.7,20.0
235,US Open,20220829,SF,180.0,7-6(5) 6-2 5-7 6-2,Casper Ruud,Karen Khachanov,0.37556266541449673,0,2.75,1,2,0.5,18.0
236,Roland Garros,20010528,SF,159.0,7-6(2) 6-4 6-4,Alex Corretja,Sebastien Grosjean,0.37431808076496204,0,1.6666666666666667,1,0,0.68,25.0
237,US Open,20090831,SF,154.0,7-6(3) 7-5 7-5,Roger Federer,Novak Djokovic,0.3724377187740118,0,1.6666666666666667,1,0,0.6923076923076923,13.0
238,Wimbledon,19910624,F,153.0,6-4 7-6(4) 6-4,Michael Stich,Boris Becker,0.3712486261329067,0,1.6666666666666667,1,0,0.6842105263157895,19.0
239,Australian Open,19811224,F,140.8,6-2 7-6 6-7 6-4,Johan Kriek,Steve Denton,0.3710115363271579,0,2.0,0,2,0.625,0.0
240,Australian Open,19741226,F,140.8,7-5 3-6 6-4 7-6,John Newcombe,Jimmy Connors,0.3710115363271579,0,2.0,0,2,0.625,0.0
241,Wimbledon,20240701,SF,175.0,6-7(1) 6-3 6-4 6-4,Carlos Alcaraz,Daniil Medvedev,0.37089445487919404,0,2.0,1,1,0.5,18.0
242,Roland Garros,20210531,SF,251.0,3-6 6-3 7-6(4) 6-2,Novak Djokovic,Rafael Nadal,0.3708130226424081,0,2.75,1,1,0.631578947368421,38.0
243,Australian Open,19950116,SF,134.4,6-7(6) 6-3 6-4 6-4,Pete Sampras,Michael Chang,0.36873682159176535,0,2.0,1,1,0.6956521739130435,23.0
244,Australian Open,19731226,F,134.4,7-6 6-4 4-6 6-3,Jimmy Connors,Phil Dent,0.368296604200461,0,2.0,0,2,0.625,0.0
245,Wimbledon,19880620,SF,134.4,6-4 6-3 6-7 6-4,Boris Becker,Ivan Lendl,0.368296604200461,0,2.0,0,2,0.625,0.0
246,US Open,19760901,F,134.4,6-4 3-6 7-6 6-4,Jimmy Connors,Bjorn Borg,0.368296604200461,0,2.0,0,2,0.625,0.0
247,Wimbledon,19690623,F,134.4,6-4 5-7 6-4 6-4,Rod Laver,John Newcombe,0.368296604200461,0,2.0,0,2,0.625,0.0
248,US Open,20060828,SF,164.0,6-7(5) 6-0 7-6(3) 6-3,Andy Roddick,Mikhail Youzhny,0.3667368735592931,0,2.75,2,1,0.5384615384615384,13.0
249,Australian Open,19990118,F,147.0,4-6 6-0 6-3 7-6(1),Yevgeny Kafelnikov,Thomas Enqvist,0.3649795199066564,0,3.0,1,1,0.5333333333333333,15.0
250,Wimbledon,19900625,F,140.8,6-2 6-2 3-6 3-6 6-4,Stefan Edberg,Boris Becker,0.3644746400011383,1,3.2,0,2,0.625,0.0
251,Wimbledon,20150629,SF,141.0,7-6(2) 6-4 6-4,Novak Djokovic,Richard Gasquet,0.3631104186231822,0,1.6666666666666667,1,0,0.6666666666666666,12.0
252,Australian Open,20070115,F,140.0,7-6(2) 6-4 6-4,Roger Federer,Fernando Gonzalez,0.36021147443012036,0,1.6666666666666667,1,0,0.6363636363636364,11.0
253,Australian Open,20240115,SF,202.0,6-1 6-2 6-7(6) 6-3,Jannik Sinner,Novak Djokovic,0.36009335780756424,0,3.25,1,2,0.5454545454545454,11.0
254,US Open,19920831,F,175.0,3-6 6-4 7-6(5) 6-2,Stefan Edberg,Pete Sampras,0.36009256808674117,0,2.5,1,1,0.7272727272727273,22.0
255,Wimbledon,20120625,SF,167.0,6-3 6-4 3-6 7-5,Andy Murray,Jo-Wilfried Tsonga,0.3595989029283702,0,2.5,0,2,0.7,20.0
256,Australian Open,19781225,SF,156.8,6-4 6-2 2-6 1-6 9-7,John Marks,Arthur Ashe,0.3585837495375509,1,3.4,0,2,0.625,0.0
257,Roland Garros,20020527,SF,190.0,6-3 6-4 3-6 6-3,Albert Costa,Alex Corretja,0.3574939360516497,0,2.75,0,2,0.7297297297297297,37.0
258,Wimbledon,19810622,F,147.20000000000002,4-6 7-6 7-6 6-4,John McEnroe,Bjorn Borg,0.3570283552463075,0,1.5,0,1,0.625,0.0
259,Australian Open,19910114,SF,190.0,6-7(2) 6-4 6-1 6-4,Boris Becker,Patrick McEnroe,0.3559556902586869,0,2.5,1,1,0.5909090909090909,22.0
260,Roland Garros,19790528,SF,137.6,7-5 6-4 5-7 6-3,Victor Pecci,Jimmy Connors,0.35550312686758295,0,2.25,0,2,0.625,0.0
261,Wimbledon,19930621,SF,105.60000000000001,7-6(5) 6-4 6-4,Pete Sampras,Boris Becker,0.35335446085545974,0,1.6666666666666667,1,0,0.8,10.0
262,Roland Garros,20050523,F,204.0,6-7(6) 6-3 6-1 7-5,Rafael Nadal,Mariano Puerta,0.3527749108896098,0,2.75,1,1,0.65625,32.0
263,Wimbledon,20210628,SF,157.0,6-3 6-0 6-7(3) 6-4,Matteo Berrettini,Hubert Hurkacz,0.3516549346879535,0,3.0,1,2,0.5,12.0
264,Roland Garros,20030526,SF,164.0,6-3 7-6(5) 6-4,Juan Carlos Ferrero,Albert Costa,0.3512123281823615,0,2.0,1,0,0.5882352941176471,17.0
265,Wimbledon,20240701,F,147.0,6-2 6-2 7-6(4),Carlos Alcaraz,Novak Djokovic,0.3495225817467771,0,3.0,1,0,0.6470588235294118,17.0
266,Roland Garros,20120527,F,229.0,6-4 6-3 2-6 7-5,Rafael Nadal,Novak Djokovic,0.3492192348798897,0,2.75,0,2,0.4074074074074074,27.0
267,US Open,20240826,SF,183.0,7-5 7-6(3) 6-2,Jannik Sinner,Jack Draper,0.3491302256751757,0,2.3333333333333335,1,0,0.6666666666666666,15.0
268,Roland Garros,20080525,SF,185.0,6-2 5-7 6-3 7-5,Roger Federer,Gael Monfils,0.3486837061384786,0,2.75,0,2,0.6428571428571429,28.0
269,US Open,20230828,F,197.0,6-3 7-6(5) 6-3,Novak Djokovic,Daniil Medvedev,0.3484932221558193,0,2.3333333333333335,1,0,0.5555555555555556,9.0
270,US Open,20030825,SF,154.0,6-4 6-3 3-6 6-4,Juan Carlos Ferrero,Andre Agassi,0.3475688124306327,0,2.5,0,2,0.6153846153846154,26.0
271,Australian Open,20250113,F,162.0,6-3 7-6(4) 6-3,Jannik Sinner,Alexander Zverev,0.34751906428754376,0,2.3333333333333335,1,0,0.8,10.0
272,Australian Open,19940117,F,105.60000000000001,7-6(4) 6-4 6-4,Pete Sampras,Todd Martin,0.34675446085545975,0,1.6666666666666667,1,0,0.7142857142857143,21.0
273,US Open,20180827,F,196.0,6-3 7-6(4) 6-3,Novak Djokovic,Juan Martin del Potro,0.3466113719798514,0,2.3333333333333335,1,0,0.5384615384615384,13.0
274,US Open,19950828,F,131.20000000000002,6-4 6-3 4-6 7-5,Pete Sampras,Andre Agassi,0.3461247332024246,0,2.25,0,2,0.5384615384615384,13.0
275,US Open,20050829,F,139.0,6-3 2-6 7-6(1) 6-1,Roger Federer,Andre Agassi,0.34590991135205906,0,3.25,1,2,0.7083333333333334,24.0
276,Wimbledon,20100621,SF,142.0,6-4 7-6(6) 6-4,Rafael Nadal,Andy Murray,0.3453426961495774,0,1.6666666666666667,1,0,0.42857142857142855,7.0
277,US Open,20190826,SF,158.0,7-6(5) 6-4 6-3,Daniil Medvedev,Grigor Dimitrov,0.3453023231547094,0,2.0,1,0,0.5555555555555556,18.0
278,Wimbledon,20040621,SF,120.0,6-2 6-3 7-6(6),Roger Federer,Sebastien Grosjean,0.344757022112183,0,2.6666666666666665,1,0,0.5384615384615384,13.0
279,Wimbledon,20180702,F,139.0,6-2 6-2 7-6(3),Novak Djokovic,Kevin Anderson,0.3441741654571843,0,3.0,1,0,0.6363636363636364,11.0
280,Roland Garros,20150524,F,192.0,4-6 6-4 6-3 6-4,Stan Wawrinka,Novak Djokovic,0.3439750499445061,0,2.25,0,1,0.76,25.0
281,Wimbledon,20120625,F,204.0,4-6 7-5 6-3 6-4,Roger Federer,Andy Murray,0.3432297582083784,0,2.25,0,1,0.6842105263157895,19.0
282,Roland Garros,19890529,SF,140.8,6-1 5-7 7-6 7-5,Michael Chang,Andrei Chesnokov,0.34270964953470506,0,2.5,0,2,0.625,0.0
283,Australian Open,20200120,SF,138.0,7-6(1) 6-4 6-3,Novak Djokovic,Roger Federer,0.3425456615156948,0,2.0,1,0,0.6666666666666666,18.0
284,Wimbledon,20250630,F,184.0,4-6 6-4 6-4 6-4,Jannik Sinner,Carlos Alcaraz,0.3424123281823615,0,2.0,0,1,0.6,15.0
285,US Open,19740828,SF,144.0,6-7 6-4 7-6 6-3,Ken Rosewall,John Newcombe,0.3415199457867327,0,1.75,0,1,0.625,0.0
286,US Open,19960826,F,96.0,6-1 6-4 7-6(3),Pete Sampras,Michael Chang,0.34105415635049374,0,2.6666666666666665,1,0,0.6666666666666666,15.0
287,Wimbledon,20090622,SF,123.0,7-6(3) 7-5 6-3,Roger Federer,Tommy Haas,0.3404781652864339,0,2.0,1,0,0.75,8.0
288,Roland Garros,19930524,SF,175.0,6-1 6-7(2) 7-5 6-2,Jim Courier,Richard Krajicek,0.3400406812942883,0,3.0,1,2,0.25,12.0
289,Roland Garros,19870525,F,134.4,7-5 6-2 3-6 7-6,Ivan Lendl,Mats Wilander,0.3399947174080082,0,2.5,0,2,0.625,0.0
290,US Open,19890828,F,134.4,7-6 1-6 6-3 7-6,Boris Becker,Ivan Lendl,0.3399947174080082,0,2.5,0,2,0.625,0.0
291,Australian Open,19890116,SF,134.4,6-2 6-4 5-7 7-5,Ivan Lendl,Thomas Muster,0.3399947174080082,0,2.5,0,2,0.625,0.0
292,Australian Open,19950116,F,128.0,4-6 6-1 7-6(6) 6-4,Andre Agassi,Pete Sampras,0.3395947852813113,0,2.5,1,1,0.72,25.0
293,Roland Garros,20110522,SF,197.0,6-4 7-5 6-4,Rafael Nadal,Andy Murray,0.339228530196666,0,2.0,0,0,0.7096774193548387,31.0
294,Australian Open,19960115,SF,96.0,6-1 6-4 7-6(1),Michael Chang,Andre Agassi,0.3390008230171604,0,2.6666666666666665,1,0,0.64,25.0
295,Wimbledon,19940620,SF,121.60000000000001,6-4 6-4 3-6 6-3,Pete Sampras,Todd Martin,0.3377731864879479,0,2.5,0,2,0.6666666666666666,18.0
296,Wimbledon,19860623,SF,128.0,6-2 6-4 6-7 6-3,Boris Becker,Henri Leconte,0.33727978528131136,0,2.5,0,2,0.625,0.0
297,Roland Garros,19760531,F,128.0,6-1 6-4 4-6 7-6,Adriano Panatta,Harold Solomon,0.33727978528131136,0,2.5,0,2,0.625,0.0
298,Australian Open,19920113,F,174.0,6-3 3-6 6-4 6-2,Jim Courier,Stefan Edberg,0.3366357039187228,0,3.0,0,2,0.7307692307692307,26.0
299,Roland Garros,20050523,SF,167.0,6-3 4-6 6-4 6-3,Rafael Nadal,Roger Federer,0.3364989029283702,0,2.5,0,2,0.4,25.0
300,Roland Garros,20100524,SF,129.0,6-2 6-3 7-6(6),Rafael Nadal,Jurgen Melzer,0.3363859813882011,0,2.6666666666666665,1,0,0.36363636363636365,11.0
301,US Open,20250824,SF,199.0,6-1 3-6 6-3 6-4,Jannik Sinner,Felix Auger-Aliassime,0.33548740003984173,0,3.25,0,2,0.7619047619047619,21.0
302,Wimbledon,20120625,SF,139.0,6-3 3-6 6-4 6-3,Roger Federer,Novak Djokovic,0.3346701314778451,0,2.75,0,2,0.7142857142857143,14.0
303,Wimbledon,19770620,SF,121.60000000000001,6-3 6-3 4-6 6-4,Jimmy Connors,John McEnroe,0.33456485315461454,0,2.5,0,2,0.625,0.0
304,Australian Open,19781225,F,121.60000000000001,6-4 6-4 3-6 6-3,Guillermo Vilas,John Marks,0.33456485315461454,0,2.5,0,2,0.625,0.0
305,US Open,19870901,SF,121.60000000000001,6-4 3-6 6-3 6-4,Mats Wilander,Stefan Edberg,0.33456485315461454,0,2.5,0,2,0.625,0.0
306,Wimbledon,19980622,SF,144.0,6-3 4-6 7-5 6-3,Pete Sampras,Tim Henman,0.3344421155980535,0,2.5,0,2,0.5,14.0
307,US Open,20110829,SF,204.0,6-4 6-2 3-6 6-2,Rafael Nadal,Andy Murray,0.333941774097157,0,3.25,0,2,0.7142857142857143,28.0
308,US Open,20080825,SF,164.0,6-3 5-7 7-5 6-2,Roger Federer,Novak Djokovic,0.3335878350977546,0,2.75,0,2,0.5625,16.0
309,Wimbledon,19940620,F,102.4,7-6(2) 7-6(5) 6-0,Pete Sampras,Goran Ivanisevic,0.33257150175019207,0,2.6666666666666665,2,0,0.7692307692307693,13.0
310,US Open,19970825,F,145.0,6-3 6-2 4-6 7-5,Patrick Rafter,Greg Rusedski,0.3325615341927773,0,2.75,0,2,0.6538461538461539,26.0
311,Wimbledon,19950626,F,149.0,6-7(5) 6-2 6-4 6-2,Pete Sampras,Boris Becker,0.33184971292580895,0,2.75,1,1,0.6875,16.0
312,US Open,19680829,SF,144.0,8-6 6-4 6-8 6-1,Tom Okker,Ken Rosewall,0.329916172201827,0,2.75,0,2,0.625,0.0
313,US Open,20170828,SF,175.0,4-6 7-5 6-3 6-4,Kevin Anderson,Pablo Carreno Busta,0.329576844816301,0,2.25,0,1,0.6666666666666666,18.0
314,Wimbledon,20130624,F,189.0,6-4 7-5 6-4,Andy Murray,Novak Djokovic,0.32882514869518203,0,2.0,0,0,0.6333333333333333,30.0
315,Australian Open,20140113,SF,144.0,7-6(4) 6-3 6-3,Rafael Nadal,Roger Federer,0.32867556881243065,0,2.3333333333333335,1,0,0.6875,16.0
316,US Open,19980831,SF,124.80000000000001,6-1 6-4 5-7 6-4,Mark Philippoussis,Carlos Moya,0.3279993169982071,0,2.75,0,2,0.7058823529411765,17.0
317,Wimbledon,19890626,SF,121.60000000000001,7-5 7-6 7-6,Stefan Edberg,John McEnroe,0.32779715913941776,0,1.3333333333333333,0,0,0.625,0.0
318,Wimbledon,20080623,SF,103.0,6-3 7-6(3) 6-4,Roger Federer,Marat Safin,0.3264159480918637,0,2.0,1,0,0.7142857142857143,7.0
