tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-8998,Adelaide,Hard,28,250,O,20260112,1,O522,,,Reilly Opelka,R,211,USA,28.375,60,861,P09Z,,,Alexei Popyrin,R,196,AUS,26.439,50,1000,6-3 7-6(6),3,R32,83,22,4,64,50,44,8,11,1,1,10,0,57,39,35,9,10,1,2
2026-301,Auckland,Hard,32,250,O,20260112,5,B0BI,7,,Sebastian Baez,R,170,ARG,25.04,39,1250,N0AM,,,Emilio Nava,R,185,USA,24.112,88,677,4-6 7-5 6-3,3,R32,143,3,1,111,91,57,15,15,5,6,10,1,96,60,43,20,16,6,9
2026-8998,Adelaide,Hard,28,250,O,20260112,2,VA25,5,,Valentin Vacherot,R,193,MON,27.157,32,1469,KI95,,,Miomir Kecmanovic,R,183,SRB,26.368,59,910,7-6(5) 6-4,3,R32,96,12,3,85,64,44,9,11,6,8,4,3,67,46,32,11,11,1,4
2026-8998,Adelaide,Hard,28,250,O,20260112,3,MU94,,,Jaume Munar,R,183,ESP,28.69,38,1295,AE14,,,Daniel Altmaier,R,188,GER,27.335,44,1123,6-3 6-0,3,R32,64,3,2,32,20,17,8,7,0,1,3,2,52,29,13,9,8,2,8
2026-8998,Adelaide,Hard,28,250,O,20260112,4,KD46,,,Thanasi Kokkinakis,R,193,AUS,29.758,,,K0AH,,,Sebastian Korda,R,196,USA,25.522,51,975,3-6 6-3 7-6(3),3,R32,146,15,1,100,61,43,24,15,6,9,8,3,90,45,33,27,15,2,5
2026-8998,Adelaide,Hard,28,250,O,20260112,5,HH26,,,Ugo Humbert,L,188,FRA,27.548,36,1355,A0GC,,,Terence Atmane,L,193,FRA,24.008,64,862,6-3 7-6(3),3,R32,92,5,2,67,40,34,18,11,3,3,7,3,67,36,26,19,10,5,6
2026-301,Auckland,Hard,32,250,O,20260113,6,M0CI,,,Fabian Marozsan,R,193,HUN,26.267,52,975,MC65,,,Gael Monfils,R,193,FRA,39.368,110,550,5-7 6-3 6-4,3,R32,120,6,2,96,57,41,25,16,2,4,10,6,93,56,40,18,15,5,8
2026-301,Auckland,Hard,32,250,O,20260113,7,M0QI,6,,Alex Michelsen,R,193,USA,21.385,37,1350,N0BS,,,Mariano Navone,R,178,ARG,24.876,74,760,2-6 6-2 7-5,3,R32,145,2,0,85,54,37,14,14,2,6,4,3,108,65,39,22,14,10,15
2026-301,Auckland,Hard,32,250,O,20260113,8,GC88,,,Marcos Giron,R,180,USA,32.474,60,895,MP20,,,Alexandre Muller,R,183,FRA,28.947,50,980,6-2 6-2,3,R32,73,1,0,59,38,30,12,8,6,6,3,3,45,28,18,6,8,1,5
2026-301,Auckland,Hard,32,250,O,20260113,9,M0JF,,,Hamad Medjedovic,R,188,SRB,22.491,96,643,K0AZ,,,Aleksandar Kovacevic,R,183,USA,27.376,54,964,6-4 3-6 7-6(2),3,R32,117,12,3,85,60,50,14,15,2,3,15,1,89,60,52,13,16,1,2
2026-301,Auckland,Hard,32,250,O,20260113,10,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.519,63,865,BD06,,,Roberto Bautista Agut,R,183,ESP,37.749,90,670,6-3 7-6(2),3,R32,96,22,4,75,54,41,9,11,6,7,2,2,71,54,35,10,10,6,8
2026-301,Auckland,Hard,32,250,O,20260113,11,TE30,,,Alejandro Tabilo,L,188,CHI,28.616,81,722,U182,,,Camilo Ugo Carabelli,R,185,ARG,26.576,47,1028,6-4 6-2,3,R32,62,9,0,41,31,29,7,9,0,0,4,3,48,29,21,6,9,0,3
2026-8998,Adelaide,Hard,28,250,O,20260113,6,M0FH,8,,Tomas Machac,R,183,CZE,25.251,35,1360,D994,,,James Duckworth,R,183,AUS,33.979,86,694,6-3 6-3,3,R32,71,11,0,50,33,29,10,9,2,2,7,0,54,30,20,14,9,2,5
2026-8998,Adelaide,Hard,28,250,O,20260113,7,HB64,,,Quentin Halys,R,191,FRA,29.216,85,697,F0BY,,,Jacob Fearnley,R,183,GBR,24.498,77,752,6-3 6-4,3,R32,78,11,1,57,34,25,13,10,3,5,2,7,59,38,27,6,9,5,9
2026-8998,Adelaide,Hard,28,250,O,20260113,8,H0BH,,,Rinky Hijikata,R,178,AUS,24.887,115,527,S0N0,,,Tristan Schoolkate,R,183,AUS,24.879,97,641,6-4 6-4,3,R32,79,4,1,52,33,26,13,10,3,4,8,5,59,30,22,14,10,3,6
2026-8998,Adelaide,Hard,28,250,O,20260113,9,S0H2,,,Alexander Shevchenko,R,188,KAZ,25.123,104,597,D923,,,Damir Dzumhur,R,175,BIH,33.651,66,837,4-6 6-4 7-5,3,R32,147,7,5,102,61,41,20,16,4,9,1,1,100,61,40,15,16,4,10
2026-301,Auckland,Hard,32,250,O,20260113,12,BT72,8,,Nuno Borges,R,185,POR,28.898,46,1070,EA24,,,Tomas Martin Etcheverry,R,196,ARG,26.491,61,895,7-5 3-6 7-6(2),3,R32,149,8,2,108,80,63,13,16,2,3,6,2,91,51,42,28,17,0,1
2026-8998,Adelaide,Hard,28,250,O,20260113,10,V832,,,Aleksandar Vukic,R,188,AUS,29.771,87,693,TE51,7,,Stefanos Tsitsipas,R,193,GRE,27.422,33,1455,7-6(3) 7-6(5),3,R32,113,6,0,94,57,38,26,12,4,4,13,0,77,50,44,13,12,4,4
2026-8998,Adelaide,Hard,28,250,O,20260113,11,F724,,,Marton Fucsovics,R,188,HUN,33.93,55,949,Q02L,,,Ethan Quinn,R,191,USA,21.84,78,733,6-4 6-4,3,R32,95,5,2,73,45,32,15,10,6,7,5,3,60,32,23,12,10,1,4
2026-8998,Adelaide,Hard,28,250,O,20260113,12,VA08,,,Andrea Vavassori,R,193,ITA,30.694,336,147,D0F6,,,Gabriel Diallo,R,203,CAN,24.304,41,1215,6-3 7-6(4),3,R32,109,5,3,70,42,36,13,11,0,1,5,3,66,42,32,11,10,1,3
2026-301,Auckland,Hard,32,250,O,20260114,13,M0NI,3,,Jakub Mensik,R,196,CZE,20.37,18,2125,M0JF,,,Hamad Medjedovic,R,188,SRB,22.494,96,643,6-1 3-6 6-3,3,R16,134,22,4,97,55,45,17,13,11,13,9,7,91,55,34,15,12,6,10
